iter	Passed	Remaining
0	134	161771
1	176	105761
2	218	87129
3	264	79091
4	305	73044
5	346	68988
6	411	70065
7	451	67328
8	498	65906
9	544	64809
10	585	63312
11	627	62120
12	671	61340
13	717	60817
14	766	60588
15	810	59973
16	858	59765
17	912	59933
18	960	59707
19	1003	59211
20	1047	58801
21	1089	58351
22	1131	57882
23	1172	57465
24	1213	57032
25	1254	56638
26	1305	56719
27	1359	56903
28	1405	56754
29	1447	56441
30	1490	56205
31	1530	55872
32	1573	55627
33	1614	55358
34	1656	55124
35	1701	55030
36	1743	54805
37	1792	54802
38	1841	54831
39	1885	54686
40	1926	54471
41	1969	54303
42	2013	54178
43	2064	54251
44	2111	54207
45	2167	54379
46	2209	54211
47	2252	54056
48	2293	53876
49	2334	53693
50	2375	53522
51	2416	53358
52	2458	53195
53	2503	53119
54	2547	53026
55	2589	52907
56	2633	52817
57	2679	52748
58	2722	52647
59	2763	52506
60	2805	52384
61	2846	52249
62	2887	52116
63	2928	51985
64	2969	51849
65	3009	51712
66	3050	51585
67	3091	51468
68	3138	51448
69	3182	51381
70	3223	51257
71	3264	51151
72	3313	51153
73	3354	51043
74	3394	50922
75	3435	50809
76	3475	50692
77	3516	50584
78	3557	50479
79	3597	50370
80	3638	50263
81	3683	50216
82	3728	50173
83	3768	50072
84	3809	49971
85	3850	49877
86	3891	49785
87	3932	49690
88	3973	49602
89	4014	49507
90	4054	49408
91	4095	49318
92	4143	49322
93	4202	49441
94	4249	49427
95	4290	49342
96	4331	49254
97	4371	49162
98	4412	49071
99	4452	48979
100	4493	48896
101	4534	48813
102	4574	48725
103	4617	48656
104	4661	48616
105	4710	48620
106	4755	48577
107	4807	48609
108	4856	48610
109	4900	48557
110	4946	48529
111	4989	48469
112	5030	48394
113	5071	48317
114	5114	48252
115	5166	48279
116	5212	48245
117	5257	48204
118	5305	48199
119	5354	48187
120	5398	48136
121	5438	48055
122	5482	48002
123	5525	47948
124	5566	47871
125	5607	47793
126	5647	47718
127	5693	47687
128	5742	47672
129	5783	47599
130	5823	47524
131	5864	47450
132	5905	47379
133	5946	47307
134	5987	47236
135	6028	47160
136	6068	47083
137	6111	47029
138	6158	47011
139	6208	47008
140	6257	47001
141	6298	46931
142	6339	46860
143	6379	46784
144	6420	46713
145	6462	46652
146	6504	46593
147	6545	46528
148	6586	46457
149	6627	46390
150	6669	46336
151	6710	46265
152	6752	46209
153	6793	46141
154	6833	46073
155	6874	46009
156	6915	45944
157	6958	45892
158	7007	45877
159	7056	45866
160	7103	45844
161	7147	45796
162	7198	45794
163	7243	45755
164	7283	45689
165	7324	45626
166	7365	45560
167	7406	45495
168	7447	45432
169	7487	45366
170	7528	45302
171	7568	45236
172	7609	45172
173	7650	45109
174	7693	45061
175	7734	44999
176	7779	44963
177	7819	44898
178	7860	44834
179	7902	44778
180	7942	44716
181	7983	44657
182	8024	44595
183	8065	44535
184	8106	44473
185	8146	44412
186	8185	44342
187	8234	44327
188	8275	44269
189	8316	44207
190	8357	44151
191	8398	44090
192	8438	44030
193	8479	43970
194	8520	43912
