iter	Passed	Remaining
0	206	309306
1	413	309440
2	617	308292
3	812	303763
4	1028	307516
5	1221	304107
6	1424	303769
7	1621	302368
8	1813	300386
9	2005	298778
10	2201	298019
11	2308	286220
12	2504	286496
13	2699	286539
14	2900	287108
15	3096	287185
16	3289	286920
17	3498	288035
18	3689	287558
19	3878	286983
20	4075	287015
21	4272	287046
22	4492	288475
23	4692	288568
24	4919	290275
25	5128	290720
26	5321	290344
27	5517	290051
28	5713	289827
29	5935	290844
30	6130	290522
31	6329	290377
32	6537	290605
33	6733	290319
34	6929	290061
35	7122	289634
36	7310	289066
37	7508	288898
38	7716	289087
39	7912	288819
40	8102	288340
41	8299	288114
42	8489	287657
43	8681	287269
44	8878	287085
45	9077	286943
46	9270	286605
47	9463	286273
48	9654	285876
49	9844	285504
50	10050	285541
51	10239	285118
52	10429	284753
53	10625	284534
54	10812	284076
55	11016	284061
56	11206	283699
57	11403	283513
58	11596	283225
59	11784	282823
60	11979	282597
61	12172	282317
62	12365	282042
63	12558	281787
64	12752	281530
65	12942	281200
66	13145	281165
67	13348	281113
68	13554	281111
69	13753	280969
70	13944	280663
71	14147	280584
72	14339	280308
73	14551	280417
74	14755	280354
75	14958	280279
76	15181	280559
77	15374	280290
78	15562	279934
79	15769	279903
80	15973	279825
81	16187	279933
82	16385	279744
83	16565	279254
84	16763	279065
85	16957	278807
86	17152	278573
87	17338	278208
88	17530	277930
89	17735	277850
90	17923	277512
91	18118	277293
92	18310	277023
93	18499	276698
94	18688	276399
95	18880	276127
96	19067	275791
97	19266	275623
98	19456	275344
99	19653	275143
100	19841	274830
101	20029	274526
102	20224	274306
103	20418	274081
104	20607	273787
105	20802	273573
106	20995	273327
107	21201	273258
108	21404	273158
109	21593	272860
110	21781	272561
111	21969	272264
112	22168	272103
113	22358	271832
114	22547	271551
115	22754	271480
116	22941	271180
117	23134	270945
118	23334	270797
119	23520	270491
120	23717	270296
121	23907	270036
122	24099	269802
123	24292	269564
124	24486	269348
125	24669	269010
126	24860	268768
127	25037	268372
128	25232	268166
129	25430	267997
130	25626	267808
131	25823	267629
132	26009	267331
133	26197	267062
134	26400	266935
135	26595	266737
136	26788	266516
137	26979	266277
138	27167	266009
139	27361	265799
140	27546	265504
141	27737	265265
142	27925	264998
143	28110	264709
144	28305	264507
145	28503	264338
146	28693	264098
147	28883	263856
148	29258	265290
149	29452	265076
150	29675	265117
151	29863	264842
152	30054	264595
153	30242	264328
154	30432	264073
155	30629	263883
156	30820	263640
157	31013	263419
158	31223	263335
159	31413	263085
160	31602	262826
161	31795	262604
162	31975	262281
163	32167	262048
164	32364	261855
165	32551	261587
166	32749	261411
167	32941	261180
168	33127	260905
169	33327	260739
170	33525	260557
171	33720	260353
172	33905	260070
173	34102	259886
174	34300	259704
175	34500	259536
176	34717	259502
177	34916	259320
178	35120	259185
179	35308	258932
180	35511	258779
181	35711	258612
182	35912	258452
183	36103	258219
184	36303	258046
185	36502	257871
186	36702	257702
187	36897	257499
188	37119	257481
189	37315	257279
190	37527	257193
191	37741	257112
192	37948	256991
193	38137	256740
194	38332	256534
195	38541	256417
196	38740	256240
197	38945	256097
198	39137	255869
199	39335	255680
200	39548	255588
201	39756	255462
202	39990	255506
203	40181	255270
204	40374	255046
205	40598	255020
206	40795	254824
207	40992	254629
208	41191	254444
209	41384	254219
210	41584	254040
211	41773	253794
212	41968	253585
213	42157	253336
214	42347	253097
215	42536	252857
216	42726	252616
217	42921	252409
218	43117	252204
219	43304	251952
220	43500	251749
221	43686	251492
222	43873	251241
223	44067	251025
224	44259	250802
225	44452	250588
226	44651	250405
227	44843	250178
228	45044	250006
229	45233	249765
230	45427	249556
231	45619	249333
232	45810	249109
233	46009	248925
234	46205	248725
235	46397	248503
236	46588	248275
237	46779	248051
238	46969	247818
239	47176	247675
240	47365	247442
241	47552	247194
242	47744	246975
243	47942	246786
244	48166	246731
245	48355	246496
246	48547	246274
247	48735	246035
248	48935	245858
249	49131	245657
250	49323	245437
251	49514	245214
252	49708	245004
253	49912	244847
254	50107	244644
255	50304	244449
256	50489	244197
257	50682	243983
258	50871	243750
259	51065	243542
260	51264	243361
261	51455	243136
262	51646	242915
263	51840	242707
264	52035	242503
265	52232	242309
266	52425	242101
267	52612	241861
268	52797	241612
269	52986	241384
270	53184	241193
271	53375	240972
272	53561	240732
273	53754	240521
274	53944	240297
275	54138	240090
276	54361	240012
277	54548	239777
278	54738	239555
279	54943	239396
280	55133	239174
281	55335	239003
282	55525	238779
283	55716	238560
284	55912	238362
285	56104	238148
286	56300	237951
287	56511	237819
288	56738	237752
289	56959	237657
290	57149	237435
291	57345	237236
292	57536	237020
293	57732	236821
294	57938	236662
295	58139	236485
296	58169	235614
297	58376	235465
298	58605	235401
299	58824	235298
300	59059	235255
301	59274	235137
302	59478	234970
303	59698	234866
304	59896	234674
305	60090	234470
306	60288	234279
307	60517	234210
308	60706	233986
309	60899	233775
310	61099	233593
311	61299	233408
312	61499	233226
313	61709	233082
314	61909	232897
315	62113	232730
316	62311	232537
317	62541	232466
318	62783	232437
319	62979	232238
320	63185	232072
321	63404	231958
322	63610	231792
323	63802	231579
324	64010	231422
325	64219	231267
326	64424	231101
327	64623	230910
328	64816	230698
329	65013	230500
330	65214	230320
331	65457	230284
332	65691	230217
333	65892	230032
334	66086	229823
335	66283	229626
336	66481	229430
337	66709	229339
338	67013	229505
339	67288	229571
340	67512	229463
341	67707	229256
342	67910	229075
343	68108	228876
344	68310	228691
345	68506	228485
346	68706	228296
347	68908	228111
348	69099	227889
349	69306	227721
350	69530	227608
351	69764	227528
352	69984	227401
353	70217	227315
354	70497	227380
355	70784	227464
356	71067	227533
357	71303	227455
358	71513	227288
359	71714	227096
360	71915	226901
361	72114	226701
362	72308	226487
363	72505	226282
364	72701	226071
365	72901	225873
366	73107	225697
367	73318	225532
368	73559	225461
369	73810	225420
370	74030	225285
371	74278	225233
372	74494	225081
373	74708	224924
374	74908	224726
375	75100	224502
376	75292	224280
377	75486	224063
378	75691	223878
379	75883	223657
380	76099	223505
381	76304	223319
382	76507	223130
383	76726	222986
384	76964	222897
385	77207	222821
386	77431	222690
387	77628	222482
388	77831	222288
389	78030	222088
390	78260	221970
391	78467	221789
392	78667	221589
393	78862	221375
394	79059	221165
395	79291	221055
396	79536	220977
397	79831	221042
398	80071	220949
399	80370	221018
400	80715	221212
401	80949	221099
402	81153	220907
403	81379	220771
404	81653	220766
405	82041	221066
406	82302	221022
407	82534	220900
408	82738	220702
409	82940	220499
